Symbol,Gene Name,Description
TP53,tumor protein p53,"This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and..."
BRCA1,BRCA1 DNA repair associated,This gene encodes a 190 kD nuclear phosphoprotein that plays a role in maintaining genomic stability...
BRCA2,BRCA2 DNA repair associated,"Inherited mutations in BRCA1 and this gene, BRCA2, confer increased lifetime risk of developing brea..."
PTEN,phosphatase and tensin homolog,This gene was identified as a tumor suppressor that is mutated in a large number of cancers at high ...
PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",Phosphatidylinositol 3-kinase is composed of an 85 kDa regulatory subunit and a 110 kDa catalytic su...
ATM,ATM serine/threonine kinase,The protein encoded by this gene belongs to the PI3/PI4-kinase family. This protein is an important ...
CCND1,cyclin D1,"The protein encoded by this gene belongs to the highly conserved cyclin family, whose members are ch..."
ERBB2,erb-b2 receptor tyrosine kinase 2,This gene encodes a member of the epidermal growth factor (EGF) receptor family of receptor tyrosine...
MYC,"MYC proto-oncogene, bHLH transcription factor",This gene is a proto-oncogene and encodes a nuclear phosphoprotein that plays a role in cell cycle p...
EGFR,epidermal growth factor receptor,The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kin...
